"Page URL with Title too long ","Page depth"
"https://scrimbaguide.tech/blog/escape-tutorial-hell-scrimba/","0"
"https://scrimbaguide.tech/blog/portfolio-projects-get-hired-2026/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-odin-project/","0"
"https://scrimbaguide.tech/blog/learn-to-code-full-time-job/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-codecademy/","0"
"https://scrimbaguide.tech/docs/courses/ai/openais-assistants-api/","0"
"https://scrimbaguide.tech/docs/courses/ai/mistral-ai/","0"
"https://scrimbaguide.tech/docs/courses/css/bootstrap/","0"
"https://scrimbaguide.tech/blog/junior-developer-job-market-2026/","0"
"https://scrimbaguide.tech/blog/scrimba-frontend-vs-fullstack-path/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-udemy/","0"
"https://scrimbaguide.tech/docs/courses/ai/ai-engineering/","0"
"https://scrimbaguide.tech/docs/faq/community-and-events/","0"
"https://scrimbaguide.tech/docs/paths/scrimba-for-cs-students/","0"
"https://scrimbaguide.tech/docs/pricing/pro-vs-free/","0"
"https://scrimbaguide.tech/docs/practice/practice-react-projects/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-educative/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-youtube/","0"
"https://scrimbaguide.tech/docs/practice/practice-ai-engineering/","0"
"https://scrimbaguide.tech/docs/courses/react/react-interview-questions/","0"
"https://scrimbaguide.tech/docs/paths/scrimba-for-marketers/","0"
"https://scrimbaguide.tech/docs/comparisons/","0"
"https://scrimbaguide.tech/docs/courses/javascript/accessible-web-design/","0"
"https://scrimbaguide.tech/docs/courses/javascript/unit-testing/","0"
"https://scrimbaguide.tech/docs/courses/javascript/basic-javascript/","0"
"https://scrimbaguide.tech/docs/faq/learning-speed/","0"
"https://scrimbaguide.tech/docs/paths/fullstack-developer-path/","0"
"https://scrimbaguide.tech/docs/paths/backend-developer-path/","0"
"https://scrimbaguide.tech/blog/why-i-keep-renewing-scrimba-pro/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-fireship/","0"
"https://scrimbaguide.tech/docs/courses/css/responsive-web-design/","0"
"https://scrimbaguide.tech/docs/paths/","0"
"https://scrimbaguide.tech/blog/javascript-vs-python-beginners-2026/","0"
"https://scrimbaguide.tech/docs/courses/ai/context-engineering/","0"
"https://scrimbaguide.tech/docs/courses/javascript/data-structures-and-algorithms/","0"
"https://scrimbaguide.tech/docs/courses/javascript/blog/","0"
"https://scrimbaguide.tech/docs/courses/javascript/es6/","0"
"https://scrimbaguide.tech/docs/courses/react/memory-game-in-react/","0"
"https://scrimbaguide.tech/docs/paths/study-plan/","0"
"https://scrimbaguide.tech/docs/courses/javascript/websites-with-figma-html-and-css/","0"
"https://scrimbaguide.tech/docs/courses/javascript/javascript-deep-dive/","0"
"https://scrimbaguide.tech/docs/courses/react/class-components-in-react/","0"
"https://scrimbaguide.tech/docs/courses/javascript/modern-javascript/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-coursera/","0"
"https://scrimbaguide.tech/docs/comparisons/scrimba-vs-pluralsight/","0"
"https://scrimbaguide.tech/docs/courses/css/ui-design-fundamentals/","0"
"https://scrimbaguide.tech/docs/courses/ai/dall-e-and-gpt-vision/","0"
"https://scrimbaguide.tech/docs/practice/practice-tailwind-css/","0"
